osm_id,path,level,name
,TR.06,PROVINCE,Ankara
1667099,TR.06.001,DISTRICT,Akyurt
1812317,TR.06.002,DISTRICT,Altındağ
1710801,TR.06.003,DISTRICT,Ayaş
1809594,TR.06.004,DISTRICT,Balâ
1738278,TR.06.005,DISTRICT,Beypazarı
1811108,TR.06.006,DISTRICT,Çamlıdere
1812321,TR.06.007,DISTRICT,Çankaya
1667201,TR.06.008,DISTRICT,Çubuk
1809674,TR.06.009,DISTRICT,Elmadağ
1812354,TR.06.010,DISTRICT,Etimesgut
1713914,TR.06.011,DISTRICT,Evren
1809464,TR.06.012,DISTRICT,Gölbaşı
1739269,TR.06.013,DISTRICT,Güdül
1810229,TR.06.014,DISTRICT,Haymana
1812355,TR.06.015,DISTRICT,Kahramankazan
1811252,TR.06.016,DISTRICT,Kalecik
1811393,TR.06.017,DISTRICT,Keçiören
1811128,TR.06.018,DISTRICT,Kızılcahamam
1812319,TR.06.019,DISTRICT,Mamak
1738279,TR.06.020,DISTRICT,Nallıhan
1799855,TR.06.021,DISTRICT,Polatlı
1811454,TR.06.022,DISTRICT,Pursaklar
1713916,TR.06.023,DISTRICT,Şereflikoçhisar
1811046,TR.06.024,DISTRICT,Sincan
1812356,TR.06.025,DISTRICT,Yenimahalle
17552191,TR.06.001.0001,NEIGHBORHOOD,Ahmetadil Mahallesi
9101382,TR.06.001.0002,NEIGHBORHOOD,Atatürk Mahallesi
17552655,TR.06.001.0003,NEIGHBORHOOD,Balıkhisar Mahallesi
9101255,TR.06.001.0004,NEIGHBORHOOD,Beyazıt Mahallesi
9101274,TR.06.001.0005,NEIGHBORHOOD,Büğdüz Mahallesi
9101591,TR.06.001.0006,NEIGHBORHOOD,Çam Mahallesi
9101489,TR.06.001.0007,NEIGHBORHOOD,Çardakbağı Mahallesi
17552575,TR.06.001.0008,NEIGHBORHOOD,Çınar Mahallesi
17191634,TR.06.001.0009,NEIGHBORHOOD,Cücük Mahallesi
17552335,TR.06.001.0010,NEIGHBORHOOD,Elecik Mahallesi
17552671,TR.06.001.0011,NEIGHBORHOOD,Güzelhisar Mahallesi
17552313,TR.06.001.0012,NEIGHBORHOOD,Haydar Mahallesi
9101532,TR.06.001.0013,NEIGHBORHOOD,Kalaba Mahallesi
17552224,TR.06.001.0014,NEIGHBORHOOD,Karacakaya Mahallesi
9101481,TR.06.001.0015,NEIGHBORHOOD,Karacalar Mahallesi
9101611,TR.06.001.0016,NEIGHBORHOOD,Karayatak Mahallesi
9101453,TR.06.001.0017,NEIGHBORHOOD,Kızık Mahallesi
17552192,TR.06.001.0018,NEIGHBORHOOD,Kozayağı Mahallesi
9101612,TR.06.001.0019,NEIGHBORHOOD,Samut Mahallesi
17552756,TR.06.001.0020,NEIGHBORHOOD,Saracalar Mahallesi
9101305,TR.06.001.0021,NEIGHBORHOOD,Şeyhler Mahallesi
17446814,TR.06.001.0022,NEIGHBORHOOD,Teberik Mahallesi
9101256,TR.06.001.0023,NEIGHBORHOOD,Timurhan Mahallesi
9101571,TR.06.001.0024,NEIGHBORHOOD,Uzunlar Mahallesi
9101254,TR.06.001.0025,NEIGHBORHOOD,Yeşiltepe Mahallesi
9101314,TR.06.001.0026,NEIGHBORHOOD,Yıldırım Mahallesi
6750842,TR.06.002.0001,NEIGHBORHOOD,Atıfbey Mahallesi
3113766,TR.06.002.0002,NEIGHBORHOOD,Aydıncık Mahallesi
6750709,TR.06.002.0003,NEIGHBORHOOD,Aydınlıkevler Mahallesi
3113767,TR.06.002.0004,NEIGHBORHOOD,Baraj Mahallesi
6748455,TR.06.002.0005,NEIGHBORHOOD,Başpınar Mahallesi
13763127,TR.06.002.0006,NEIGHBORHOOD,Battalgazi Mahallesi
3113768,TR.06.002.0007,NEIGHBORHOOD,Beşikkaya Mahallesi
6748456,TR.06.002.0008,NEIGHBORHOOD,Doğantepe Mahallesi
3113769,TR.06.002.0009,NEIGHBORHOOD,Feridun Çelik Mahallesi
3113770,TR.06.002.0010,NEIGHBORHOOD,Gicik Mahallesi
6750779,TR.06.002.0011,NEIGHBORHOOD,Gültepe Mahallesi
6750668,TR.06.002.0012,NEIGHBORHOOD,Güneşevler Mahallesi
3114196,TR.06.002.0013,NEIGHBORHOOD,Hacettepe Mahallesi
3114197,TR.06.002.0014,NEIGHBORHOOD,Hacı Bayram Mahallesi
3114198,TR.06.002.0015,NEIGHBORHOOD,Kale Mahallesi
3113771,TR.06.002.0016,NEIGHBORHOOD,Karacaören Mahallesi
3113772,TR.06.002.0017,NEIGHBORHOOD,Karapürçek Mahallesi
3113773,TR.06.002.0018,NEIGHBORHOOD,Kavaklı Mahallesi
6750778,TR.06.002.0019,NEIGHBORHOOD,Önder Mahallesi
6745855,TR.06.002.0020,NEIGHBORHOOD,Örnek Mahallesi
3113774,TR.06.002.0021,NEIGHBORHOOD,Peçenek Mahallesi
6748492,TR.06.002.0022,NEIGHBORHOOD,Solfasol Mahallesi
3113775,TR.06.002.0023,NEIGHBORHOOD,Tatlar Mahallesi
6750750,TR.06.002.0024,NEIGHBORHOOD,Ulubey Mahallesi
6750636,TR.06.002.0025,NEIGHBORHOOD,Yıldıztepe Mahallesi
3114202,TR.06.002.0026,NEIGHBORHOOD,Zübeyde Hanım Mahallesi
14507855,TR.06.003.0001,NEIGHBORHOOD,Akkaya Mahallesi
